270 8.719848e-03 6.293080e-03 8.029585e-03 5.801816e-03 7.211449e-03 5.217717e-03 7.260883e-03 5.253067e-03 8.131595e-03 5.874506e-03
280 8.332728e-03 5.981997e-03 7.625756e-03 5.482249e-03 6.796202e-03 4.894570e-03 6.846071e-03 4.929937e-03 7.729824e-03 5.555876e-03
290 8.018137e-03 5.702402e-03 7.286491e-03 5.179100e-03 6.436371e-03 4.571168e-03 6.487224e-03 4.607530e-03 7.393775e-03 5.255828e-03
300 7.688204e-03 5.509896e-03 6.932533e-03 4.969848e-03 6.065158e-03 4.348750e-03 6.116724e-03 4.385711e-03 7.042805e-03 5.048717e-03
310 7.284673e-03 5.232174e-03 6.502461e-03 4.676857e-03 5.619930e-03 4.048412e-03 5.671947e-03 4.085508e-03 6.615823e-03 4.757435e-03
320 6.988718e-03 4.980749e-03 6.181835e-03 4.406458e-03 5.284900e-03 3.767726e-03 5.337378e-03 3.805106e-03 6.298071e-03 4.489206e-03
330 6.654951e-03 4.736509e-03 5.824912e-03 4.144211e-03 4.918836e-03 3.497753e-03 4.971378e-03 3.535237e-03 5.943597e-03 4.228897e-03
340 6.404556e-03 4.598193e-03 5.557222e-03 3.993110e-03 4.646160e-03 3.340542e-03 4.698604e-03 3.378161e-03 5.677622e-03 4.079197e-03
350 6.100845e-03 4.417515e-03 5.232444e-03 3.802407e-03 4.317318e-03 3.149558e-03 4.369489e-03 3.186903e-03 5.354800e-03 3.889338e-03
360 5.845284e-03 4.168235e-03 4.960872e-03 3.539120e-03 4.045768e-03 2.887594e-03 4.097487e-03 2.924432e-03 5.084518e-03 3.627108e-03
370 5.606004e-03 3.987880e-03 4.708343e-03 3.347045e-03 3.796187e-03 2.696163e-03 3.847303e-03 2.732629e-03 4.832867e-03 3.435925e-03
380 5.416061e-03 3.875373e-03 4.507599e-03 3.226247e-03 3.598540e-03 2.575497e-03 3.649118e-03 2.611733e-03 4.632783e-03 3.315769e-03
390 5.183581e-03 3.727587e-03 4.266535e-03 3.075553e-03 3.366696e-03 2.432842e-03 3.416310e-03 2.468353e-03 4.391817e-03 3.164810e-03
400 5.007954e-03 3.585946e-03 4.076066e-03 2.924777e-03 3.177033e-03 2.284870e-03 3.226215e-03 2.319929e-03 4.202426e-03 3.014556e-03
410 4.876479e-03 3.471000e-03 3.934117e-03 2.799174e-03 3.037326e-03 2.159981e-03 3.086076e-03 2.194724e-03 4.061123e-03 2.889710e-03
420 4.719878e-03 3.360249e-03 3.760545e-03 2.675121e-03 2.864219e-03 2.035255e-03 2.912530e-03 2.069735e-03 3.888782e-03 2.766689e-03
430 4.593352e-03 3.293420e-03 3.620545e-03 2.600283e-03 2.726307e-03 1.960742e-03 2.774145e-03 1.995011e-03 3.749634e-03 2.692419e-03
440 4.434243e-03 3.176414e-03 3.445734e-03 2.474404e-03 2.556855e-03 1.840621e-03 2.603931e-03 1.874247e-03 3.575597e-03 2.566799e-03
450 4.322542e-03 3.077782e-03 3.318498e-03 2.362395e-03 2.431477e-03 1.730401e-03 2.478076e-03 1.763602e-03 3.449337e-03 2.455618e-03
460 4.180679e-03 2.976440e-03 3.161593e-03 2.248999e-03 2.281872e-03 1.621374e-03 2.327611e-03 1.653996e-03 3.292970e-03 2.342758e-03
470 4.051415e-03 2.905952e-03 3.019978e-03 2.170914e-03 2.149366e-03 1.547659e-03 2.194185e-03 1.579805e-03 3.151545e-03 2.264880e-03
480 3.940415e-03 2.824521e-03 2.897324e-03 2.084238e-03 2.034959e-03 1.468918e-03 2.078952e-03 1.500382e-03 3.029067e-03 2.177977e-03
490 3.853215e-03 2.743080e-03 2.798221e-03 1.991188e-03 1.941611e-03 1.380895e-03 1.984966e-03 1.411778e-03 2.930318e-03 2.085319e-03
500 3.785434e-03 2.706309e-03 2.721911e-03 1.947979e-03 1.870880e-03 1.339679e-03 1.913680e-03 1.370302e-03 2.854138e-03 2.042378e-03
510 3.700771e-03 2.647266e-03 2.621483e-03 1.879407e-03 1.775657e-03 1.275369e-03 1.817808e-03 1.305519e-03 2.754320e-03 1.974091e-03
520 3.625870e-03 2.589482e-03 2.532394e-03 1.811851e-03 1.692449e-03 1.212881e-03 1.733944e-03 1.242506e-03 2.665663e-03 1.906755e-03
530 3.569197e-03 2.547559e-03 2.460002e-03 1.759979e-03 1.622905e-03 1.163822e-03 1.663938e-03 1.193084e-03 2.594023e-03 1.855279e-03
540 3.526920e-03 2.512899e-03 2.405128e-03 1.712383e-03 1.570584e-03 1.117064e-03 1.611235e-03 1.146055e-03 2.539716e-03 1.808412e-03
550 3.479286e-03 2.487024e-03 2.341325e-03 1.677573e-03 1.509726e-03 1.083709e-03 1.549916e-03 1.112457e-03 2.476652e-03 1.774026e-03
560 3.438233e-03 2.453615e-03 2.283451e-03 1.633352e-03 1.454169e-03 1.042480e-03 1.493942e-03 1.070857e-03 2.419591e-03 1.730202e-03
570 3.392653e-03 2.416618e-03 2.215028e-03 1.576963e-03 1.388076e-03 9.876058e-04 1.427349e-03 1.015588e-03 2.352315e-03 1.674829e-03
580 3.363933e-03 2.398967e-03 2.170562e-03 1.547863e-03 1.345440e-03 9.589687e-04 1.384362e-03 9.867523e-04 2.308601e-03 1.646353e-03
590 3.330632e-03 2.376401e-03 2.117336e-03 1.512594e-03 1.294870e-03 9.257155e-04 1.333336e-03 9.531871e-04 2.256275e-03 1.611631e-03
600 3.305497e-03 2.357843e-03 2.071370e-03 1.481098e-03 1.250064e-03 8.957425e-04 1.288167e-03 9.229370e-04 2.211376e-03 1.580724e-03
610 3.285134e-03 2.340527e-03 2.030713e-03 1.446955e-03 1.210220e-03 8.623953e-04 1.247998e-03 8.893126e-04 2.171768e-03 1.547442e-03
620 3.267095e-03 2.328404e-03 1.988599e-03 1.415950e-03 1.168258e-03 8.308275e-04 1.205711e-03 8.575318e-04 2.130956e-03 1.517523e-03
630 3.249726e-03 2.318455e-03 1.948910e-03 1.393891e-03 1.130130e-03 8.097061e-04 1.167204e-03 8.361985e-04 2.092315e-03 1.496025e-03
640 3.235114e-03 2.307129e-03 1.907790e-03 1.365315e-03 1.089794e-03 7.822466e-04 1.126495e-03 8.084583e-04 2.052516e-03 1.468252e-03
650 3.223692e-03 2.297020e-03 1.864691e-03 1.328885e-03 1.046741e-03 7.460450e-04 1.083062e-03 7.719290e-04 2.011057e-03 1.433167e-03
660 3.213047e-03 2.289340e-03 1.819503e-03 1.294925e-03 1.002573e-03 7.126940e-04 1.038440e-03 7.382426e-04 1.967515e-03 1.400477e-03
670 3.204572e-03 2.285141e-03 1.780871e-03 1.274123e-03 9.660641e-04 6.926205e-04 1.001480e-03 7.179437e-04 1.930148e-03 1.380424e-03
680 3.193217e-03 2.277796e-03 1.719075e-03 1.239285e-03 9.092790e-04 6.606105e-04 9.438973e-04 6.854850e-04 1.870205e-03 1.346609e-03
690 3.185018e-03 2.269817e-03 1.666524e-03 1.191187e-03 8.626600e-04 6.180127e-04 8.965317e-04 6.422003e-04 1.818999e-03 1.299725e-03
700 3.178698e-03 2.265419e-03 1.623005e-03 1.156274e-03 8.254810e-04 5.876192e-04 8.586824e-04 6.112899e-04 1.776359e-03 1.265623e-03
710 3.173390e-03 2.261997e-03 1.584954e-03 1.131906e-03 7.939807e-04 5.673985e-04 8.265634e-04 5.906744e-04 1.738891e-03 1.241638e-03
720 3.167963e-03 2.258116e-03 1.539830e-03 1.104858e-03 7.576781e-04 5.459374e-04 7.894929e-04 5.687410e-04 1.694269e-03 1.214835e-03
